Frame,Vehicle_ID,Pos_X,Pos_Y,Pos_Z,BBox_X_Min,BBox_X_Max,BBox_Y_Min,BBox_Y_Max,BBox_Z_Min,BBox_Z_Max,MVec_X,MVec_Y,MVec_Z
3,141,35.0993309,54.5895805,0.2469166,2.3958898,1.081725,0.74383,0,0,-0.9799999,0,0,-0.0224583
4,146,-19.093874,6.0958128,0.2183333,1.8166879,0.9225569,0.7506413,0,0,-1.2249998,0,0,-0.0285833
4,145,-17.6023922,2.59217,0.2183334,2.3958898,1.081725,0.74383,0,0,-1.2249998,0,0,-0.0285832
4,144,24.7071228,-51.0345535,0.2183333,1.8166879,0.9225569,0.7506413,0,0,-1.2249998,0,0,-0.0285833
4,143,28.2406216,-52.2405319,0.2183333,2.3958898,1.081725,0.74383,0,0,-1.2249998,0,0,-0.0285833
4,142,31.5994377,55.9881821,0.2183333,1.8166879,0.9225569,0.7506413,0,0,-1.2249998,0,0,-0.0285833
4,141,35.0993309,54.5895805,0.2183333,2.3958898,1.081725,0.74383,0,0,-1.2249998,0,0,-0.0285833
5,146,-19.093874,6.0958128,0.183625,1.8166879,0.9225569,0.7506413,0,0,-1.4699999,0,0,-0.0347083
5,145,-17.6023922,2.59217,0.183625,2.3958898,1.081725,0.74383,0,0,-1.4699999,0,0,-0.0347084
5,144,24.7071228,-51.0345535,0.183625,1.8166879,0.9225569,0.7506413,0,0,-1.4699999,0,0,-0.0347083
5,143,28.2406216,-52.2405319,0.183625,2.3958898,1.081725,0.74383,0,0,-1.4699999,0,0,-0.0347083
5,142,31.5994377,55.9881821,0.183625,1.8166879,0.9225569,0.7506413,0,0,-1.4699999,0,0,-0.0347083
5,141,35.0993309,54.5895805,0.183625,2.3958898,1.081725,0.74383,0,0,-1.4699999,0,0,-0.0347083
6,146,-19.093874,6.0958128,0.1427917,1.8166879,0.9225569,0.7506413,0,0,-1.7150002,0,0,-0.0408333
6,145,-17.6023922,2.59217,0.1427917,2.3958898,1.081725,0.74383,0,0,-1.7150002,0,0,-0.0408333
6,144,24.7071228,-51.0345535,0.1427917,1.8166879,0.9225569,0.7506413,0,0,-1.7150002,0,0,-0.0408333
6,143,28.2406216,-52.2405319,0.1427917,2.3958898,1.081725,0.74383,0,0,-1.7150002,0,0,-0.0408333
6,142,31.5994377,55.9881821,0.1427917,1.8166879,0.9225569,0.7506413,0,0,-1.7150002,0,0,-0.0408333
6,141,35.0993309,54.5895805,0.1427917,2.3958898,1.081725,0.74383,0,0,-1.7150002,0,0,-0.0408333
7,146,-19.093874,6.0958128,0.0958333,1.8166879,0.9225569,0.7506413,0,0,-1.9600003,0,0,-0.0469584
7,145,-17.6023922,2.59217,0.0958334,2.3958898,1.081725,0.74383,0,0,-1.9600003,0,0,-0.0469583
7,144,24.7071228,-51.0345535,0.0958333,1.8166879,0.9225569,0.7506413,0,0,-1.9600003,0,0,-0.0469584
7,143,28.2406216,-52.2405319,0.0958333,2.3958898,1.081725,0.74383,0,0,-1.9600003,0,0,-0.0469584
7,142,31.5994377,55.9881821,0.0958333,1.8166879,0.9225569,0.7506413,0,0,-1.9600003,0,0,-0.0469584
7,141,35.0993309,54.5895805,0.0958333,2.3958898,1.081725,0.74383,0,0,-1.9600003,0,0,-0.0469584
8,146,-19.093874,6.0958128,0.0443015,1.8166879,0.9225569,0.7506413,0,0,-2.0188289,0,0,-0.0515318
8,145,-17.6023922,2.5921702,0.0486513,2.3958898,1.081725,0.74383,-0.0000007,-0.000013,-1.6906847,0,2.00E-07,-0.0471821
8,144,24.7071228,-51.0345535,0.0443033,1.8166879,0.9225569,0.7506413,0,-0.0000004,-2.0186133,0,0,-0.05153
8,143,28.2406216,-52.2405319,0.0486557,2.3958898,1.081725,0.74383,0.0000008,0.0000126,-1.6904482,0,0,-0.0471776
8,142,31.5994377,55.9881821,0.0443034,1.8166879,0.9225569,0.7506413,0,0.0000002,-2.0186117,0,0,-0.0515299
8,141,35.0993309,54.5895805,0.0486557,2.3958898,1.081725,0.74383,0.0000007,0.0000131,-1.6904507,0,0,-0.0471776
9,146,-19.093874,6.0958128,0.0028277,1.8166879,0.9225569,0.7506413,0.0000018,-0.0000002,-1.4904801,0,0,-0.0414738
9,145,-17.6023922,2.5921707,0.0162613,2.3958898,1.081725,0.74383,-0.0000005,-0.0000061,-1.1192267,0,5.00E-07,-0.03239
9,144,24.7071228,-51.0345535,0.002834,1.8166879,0.9225569,0.7506413,-0.0000018,-0.0000005,-1.4903169,0,0,-0.0414693
9,143,28.2406216,-52.2405319,0.0162704,2.3958898,1.081725,0.74383,0.0000005,0.0000058,-1.1190635,0,0,-0.0323853
9,142,31.5994377,55.9881821,0.0028341,1.8166879,0.9225569,0.7506413,-0.0000019,0.0000002,-1.490316,0,0,-0.0414693
9,141,35.0993309,54.5895805,0.0162704,2.3958898,1.081725,0.74383,0.0000004,0.0000057,-1.1190647,0,0,-0.0323853
10,146,-19.0938759,6.0958128,-0.0270799,1.8166879,0.9225569,0.7506413,0.0000012,0,-1.0594027,-1.90E-06,0,-0.0299076
10,145,-17.6023922,2.5921707,-0.0046776,2.3958898,1.081725,0.74383,-0.0000003,-0.0000025,-0.7123116,0,0,-0.0209389
10,144,24.7071228,-51.0345535,-0.0270702,1.8166879,0.9225569,0.7506413,-0.0000013,-0.0000004,-1.0592762,0,0,-0.0299042
10,143,28.2406216,-52.2405319,-0.0046654,2.3958898,1.081725,0.74383,0.0000003,0.0000025,-0.7122008,0,0,-0.0209358
10,142,31.5994377,55.9881821,-0.0270701,1.8166879,0.9225569,0.7506413,-0.0000013,0,-1.0592754,0,0,-0.0299042
10,141,35.0993309,54.5895805,-0.0046654,2.3958898,1.081725,0.74383,0.0000002,0.0000025,-0.7122014,0,0,-0.0209358
11,146,-19.0938759,6.0958128,-0.0476621,1.8166879,0.9225569,0.7506413,0.0000007,0,-0.7141224,0,0,-0.0205822
11,145,-17.6023922,2.5921707,-0.0175272,2.3958898,1.081725,0.74383,-0.0000001,-0.000001,-0.4262396,0,0,-0.0128496
11,144,24.7071228,-51.0345535,-0.0476497,1.8166879,0.9225569,0.7506413,-0.0000008,-0.0000003,-0.7140264,0,0,-0.0205795
11,143,28.2406216,-52.2405319,-0.0175129,2.3958898,1.081725,0.74383,0.0000001,0.0000011,-0.4261652,0,0,-0.0128475
11,142,31.5994377,55.9881821,-0.0476496,1.8166879,0.9225569,0.7506413,-0.0000008,0.0000001,-0.7140256,0,0,-0.0205795
11,141,35.0993309,54.5895805,-0.017513,2.3958898,1.081725,0.74383,0.0000001,0.0000009,-0.4261659,0,0,-0.0128476
12,146,-19.0938759,6.0958128,-0.0608715,1.8166879,0.9225569,0.7506413,0.0000005,-0.0000001,-0.44313,0,0,-0.0132094
12,145,-17.6023922,2.5921707,-0.0247469,2.3958898,1.081725,0.74383,-0.0000001,-0.0000006,-0.2283609,0,0,-0.0072197
12,144,24.7071228,-51.0345535,-0.0608572,1.8166879,0.9225569,0.7506413,-0.0000005,-0.0000001,-0.4430608,0,0,-0.0132075
12,143,28.2406216,-52.2405319,-0.0247312,2.3958898,1.081725,0.74383,0.0000001,0.0000003,-0.2283133,0,0,-0.0072183
12,142,31.5994377,55.9881821,-0.0608571,1.8166879,0.9225569,0.7506413,-0.0000005,0,-0.44306,0,0,-0.0132075
12,141,35.0993309,54.5895805,-0.0247313,2.3958898,1.081725,0.74383,0.0000001,0.0000002,-0.2283138,0,0,-0.0072183
13,146,-19.0938759,6.0958128,-0.0683789,1.8166879,0.9225569,0.7506413,0.0000003,0,-0.2353044,0,0,-0.0075074
13,145,-17.6023922,2.5921707,-0.028123,2.3958898,1.081725,0.74383,0,-0.0000002,-0.0943737,0,0,-0.0033761
13,144,24.7071228,-51.0345535,-0.0683631,1.8166879,0.9225569,0.7506413,-0.0000003,-0.0000001,-0.2352538,0,0,-0.0075059
13,143,28.2406216,-52.2405319,-0.0281065,2.3958898,1.081725,0.74383,0,-0.0000001,-0.0943451,0,0,-0.0033753
13,142,31.5994377,55.9881821,-0.068363,1.8166879,0.9225569,0.7506413,-0.0000002,0.0000001,-0.2352529,0,0,-0.0075059
13,141,35.0993309,54.5895805,-0.0281066,2.3958898,1.081725,0.74383,0,-0.0000004,-0.0943452,0,0,-0.0033753
14,146,-19.0938759,6.0958128,-0.0715886,1.8166879,0.9225569,0.7506413,0.0000002,-0.0000001,-0.0802487,0,0,-0.0032097
14,145,-17.6023922,2.5921707,-0.0289427,2.3958898,1.081725,0.74383,0,0.0000001,-0.0062674,0,0,-0.0008197
14,144,24.7071228,-51.0345535,-0.0715719,1.8166879,0.9225569,0.7506413,-0.0000001,0,-0.0802166,0,0,-0.0032088
14,143,28.2406216,-52.2405319,-0.0289256,2.3958898,1.081725,0.74383,0,-0.0000001,-0.0062515,0,0,-0.0008191
14,142,31.5994377,55.9881821,-0.0715718,1.8166879,0.9225569,0.7506413,-0.0000001,0,-0.0802155,0,0,-0.0032088
14,141,35.0993309,54.5895805,-0.0289257,2.3958898,1.081725,0.74383,0,0,-0.0062519,0,0,-0.0008191
15,146,-19.0938759,6.0958128,-0.0716605,1.8166879,0.9225569,0.7506413,0,-0.0000001,0.0314865,0,0,-7.19E-05
15,145,-17.6023922,2.5921707,-0.0281238,2.3958898,1.081725,0.74383,0,0.0000002,0.0492444,0,0,0.0008189
15,144,24.7071228,-51.0345535,-0.0716431,1.8166879,0.9225569,0.7506413,0,0.0000001,0.0315063,0,0,-7.12E-05
15,143,28.2406216,-52.2405319,-0.0281066,2.3958898,1.081725,0.74383,0,-0.0000001,0.0492523,0,0,0.000819
15,142,31.5994377,55.9881821,-0.071643,1.8166879,0.9225569,0.7506413,-0.0000001,0,0.0315065,0,0,-7.12E-05
15,141,35.0993309,54.5895805,-0.0281067,2.3958898,1.081725,0.74383,0,-0.0000003,0.0492514,0,0,0.000819
16,146,-19.0938759,6.0958128,-0.0695355,1.8166879,0.9225569,0.7506413,0.0000001,-0.0000001,0.1083049,0,0,0.002125
16,145,-17.6023922,2.5921707,-0.0263133,2.3958898,1.081725,0.74383,0,0.0000002,0.0819096,0,0,0.0018105
16,144,24.7071228,-51.0345535,-0.0695178,1.8166879,0.9225569,0.7506413,0,0.0000001,0.1083151,0,0,0.0021253
16,143,28.2406216,-52.2405319,-0.0262961,2.3958898,1.081725,0.74383,0,-0.0000002,0.0819105,0,0,0.0018105
16,142,31.5994377,55.9881821,-0.0695177,1.8166879,0.9225569,0.7506413,0,-0.0000001,0.1083153,0,0,0.0021253
16,141,35.0993309,54.5895805,-0.0262961,2.3958898,1.081725,0.74383,0,-0.0000004,0.0819105,0,0,0.0018106
17,146,-19.0938759,6.0958128,-0.0659625,1.8166879,0.9225569,0.7506413,-0.0000001,-0.0000001,0.1575301,0,0,0.003573
17,145,-17.6023922,2.5921707,-0.0239598,2.3958898,1.081725,0.74383,0,0.0000001,0.098831,0,0,0.0023535
17,144,24.7071228,-51.0345535,-0.0659447,1.8166879,0.9225569,0.7506413,0,0,0.1575334,0,0,0.0035731
17,143,28.2406216,-52.2405319,-0.0239425,2.3958898,1.081725,0.74383,0,-0.0000001,0.0988282,0,0,0.0023536
17,142,31.5994377,55.9881821,-0.0659446,1.8166879,0.9225569,0.7506413,0.0000001,0,0.1575331,0,0,0.0035731
17,141,35.0993309,54.5895805,-0.0239425,2.3958898,1.081725,0.74383,0,0,0.0988269,0,0,0.0023536
18,146,-19.0938759,6.0958128,-0.061525,1.8166879,0.9225569,0.7506413,-0.0000001,0,0.1854225,0,0,0.0044375
18,145,-17.6023922,2.5921707,-0.0213679,2.3958898,1.081725,0.74383,0,-0.0000001,0.1051477,0,0,0.0025919
18,144,24.7071228,-51.0345535,-0.0615072,1.8166879,0.9225569,0.7506413,0.0000001,0.0000001,0.1854209,0,0,0.0044375
18,143,28.2406216,-52.2405319,-0.0213508,2.3958898,1.081725,0.74383,0,-0.0000002,0.1051425,0,0,0.0025917
18,142,31.5994377,55.9881821,-0.0615071,1.8166879,0.9225569,0.7506413,0.0000001,0,0.18542,0,0,0.0044375
18,141,35.0993309,54.5895805,-0.0213508,2.3958898,1.081725,0.74383,0,-0.0000002,0.1051412,0,0,0.0025917
19,146,-19.0938759,6.0958128,-0.056667,1.8166879,0.9225569,0.7506413,-0.0000001,0.0000001,0.1972455,0,0,0.004858
19,145,-17.6023655,2.592171,-0.0187391,2.3958898,1.081725,0.74383,0.0035504,-0.0000172,0.1045385,2.67E-05,3.00E-07,0.0026288
19,144,24.7071228,-51.0345535,-0.0566493,1.8166879,0.9225569,0.7506413,0.0000001,0.0000001,0.1972394,0,0,0.0048579
19,143,28.2406044,-52.2405014,-0.0187222,2.3958898,1.081725,0.74383,-0.0036681,-0.0014866,0.1045313,-1.72E-05,3.05E-05,0.0026286
19,142,31.5994377,55.9881821,-0.0566492,1.8166879,0.9225569,0.7506413,0,0,0.1972388,0,0,0.0048579
19,141,35.0993309,54.58955,-0.0187222,2.3958898,1.081725,0.74383,-0.0035499,-0.000019,0.1045314,0,-3.05E-05,0.0026286
20,146,-19.0938759,6.0958128,-0.051716,1.8166879,0.9225569,0.7506413,0,-0.0000001,0.1973406,0,0,0.004951
20,145,-17.5925732,2.5921478,-0.0162723,2.3958898,1.081725,0.74383,0.5407616,-0.0026264,0.0996098,0.0097923,-2.32E-05,0.0024668
20,144,24.7071228,-51.0345535,-0.0516986,1.8166879,0.9225569,0.7506413,0.0000001,0,0.1973333,0,0,0.0049507
20,143,28.2410202,-52.2307472,-0.0162553,2.3958898,1.081725,0.74383,-0.5396855,0.0219075,0.0996078,0.0004158,0.0097542,0.0024669
20,142,31.5994377,55.9881821,-0.0516985,1.8166879,0.9225569,0.7506413,0.0000001,0,0.1973332,0,0,0.0049507
20,141,35.0993271,54.5797653,-0.0162558,2.3958898,1.081725,0.74383,-0.5405077,0.0000784,0.0996066,-3.80E-06,-0.0097847,0.0024664
21,146,-19.0938759,6.0958128,-0.0469053,1.8166879,0.9225569,0.7506413,-0.0000001,0,0.1892353,0,0,0.0048107
21,145,-17.5709476,2.5920954,-0.0140124,2.3958898,1.081725,0.74383,0.9950636,-0.004846,0.0921967,0.0216256,-5.24E-05,0.0022599
21,144,24.7071228,-51.0345535,-0.046888,1.8166879,0.9225569,0.7506413,0.0000001,0,0.1892252,0,0,0.0048106
21,143,28.2419662,-52.2092094,-0.0139947,2.3958898,1.081725,0.74383,-0.9908423,0.0365444,0.0921915,0.000946,0.0215378,0.0022606
21,142,31.5994377,55.9881821,-0.046888,1.8166879,0.9225569,0.7506413,0.0000001,0,0.1892256,0,0,0.0048105
21,141,35.0993271,54.5581474,-0.0139959,2.3958898,1.081725,0.74383,-0.9951305,0.0000478,0.0921929,0,-0.0216179,0.0022599
22,146,-19.0938759,6.0958128,-0.0423918,1.8166879,0.9225569,0.7506413,-0.0000001,0,0.1757296,0,0,0.0045135
22,145,-17.5396748,2.5920203,-0.0119606,2.3958898,1.081725,0.74383,1.3743531,-0.0067029,0.0835435,0.0312728,-7.51E-05,0.0020518
22,144,24.7071228,-51.0345535,-0.0423747,1.8166879,0.9225569,0.7506413,0,-0.0000001,0.1757195,0,0,0.0045133
22,143,28.2433491,-52.1779022,-0.0119436,2.3958898,1.081725,0.74383,-1.3759618,0.0528594,0.0835362,0.0013829,0.0313072,0.0020511
22,142,31.5994377,55.9881821,-0.0423747,1.8166879,0.9225569,0.7506413,0,0,0.175719,0,0,0.0045133
22,141,35.0993156,54.526638,-0.0119457,2.3958898,1.081725,0.74383,-1.3718062,0.0001862,0.0835353,-1.15E-05,-0.0315094,0.0020502
23,146,-19.0938759,6.0958128,-0.038273,1.8166879,0.9225569,0.7506413,0,0,0.1590091,0,0,0.0041188
23,145,-17.4994316,2.5919213,-0.0101231,2.3958898,1.081725,0.74383,1.7133456,-0.0083576,0.0744847,0.0402432,-9.90E-05,0.0018375
23,144,24.7071228,-51.0345535,-0.0382562,1.8166879,0.9225569,0.7506413,0.0000001,0,0.1589982,0,0,0.0041185
23,143,28.2451477,-52.1378174,-0.0101053,2.3958898,1.081725,0.74383,-1.7073676,0.0694941,0.0744795,0.0017986,0.0400848,0.0018383
23,142,31.5994377,55.9881821,-0.0382561,1.8166879,0.9225569,0.7506413,0.0000001,0.0000001,0.1589984,0,0,0.0041186
23,141,35.099308,54.4864082,-0.0101075,2.3958898,1.081725,0.74383,-1.7106817,0.0000928,0.0744773,-7.60E-06,-0.0402298,0.0018382
24,146,-19.0938759,6.0958128,-0.0346007,1.8166879,0.9225569,0.7506413,-0.0000001,0,0.1407313,0,0,0.0036723
24,145,-17.4516811,2.5918062,-0.00849,2.3958898,1.081725,0.74383,1.9977698,-0.0097586,0.0655706,0.0477505,-0.0001151,0.0016331
24,144,24.7071228,-51.0345535,-0.0345843,1.8166879,0.9225569,0.7506413,0,0,0.1407213,0,0,0.0036719
24,143,28.2473335,-52.0902443,-0.0084719,2.3958898,1.081725,0.74383,-1.9935817,0.0879263,0.0655644,0.0021858,0.0475731,0.0016334
24,142,31.5994377,55.9881821,-0.0345842,1.8166879,0.9225569,0.7506413,0,0.0000001,0.1407218,0,0,0.0036719
24,141,35.0992928,54.438633,-0.0084743,2.3958898,1.081725,0.74383,-2.0001046,0.0002071,0.065565,-1.52E-05,-0.0477752,0.0016332
25,146,-19.0938759,6.0958128,-0.0313929,1.8166879,0.9225569,0.7506413,0,-0.0000001,0.1221235,0,0,0.0032078
25,145,-17.3974342,2.5916717,-0.0070509,2.3958898,1.081725,0.74383,2.2477915,-0.0109678,0.0571312,0.0542469,-0.0001345,0.0014391
25,144,24.7071228,-51.0345535,-0.0313767,1.8166879,0.9225569,0.7506413,0,0,0.1221148,0,0,0.0032076
25,143,28.2498722,-52.0362587,-0.0070319,2.3958898,1.081725,0.74383,-2.2386736,0.1065181,0.057124,0.0025387,0.0539856,0.00144
25,142,31.5994377,55.9881821,-0.0313766,1.8166879,0.9225569,0.7506413,0.0000001,0,0.1221146,0,0,0.0032076
25,141,35.0992775,54.3844032,-0.0070349,2.3958898,1.081725,0.74383,-2.2464375,0.0003386,0.0571257,-1.53E-05,-0.0542298,0.0014394
26,146,-19.0938759,6.0958128,-0.0286426,1.8166879,0.9225569,0.7506413,0,-0.0000001,0.1040552,0,0,0.0027503
26,145,-17.3374767,2.5915275,-0.0057921,2.3958898,1.081725,0.74383,2.468098,-0.0120574,0.0493599,0.0599575,-0.0001442,0.0012588
26,144,24.7071228,-51.0345535,-0.0286265,1.8166879,0.9225569,0.7506413,0,-0.0000001,0.1040482,0,0,0.0027502
26,143,28.2527561,-51.9765968,-0.0057728,2.3958898,1.081725,0.74383,-2.4588331,0.1262623,0.049353,0.0028839,0.0596619,0.0012591
26,142,31.5994377,55.9881821,-0.0286264,1.8166879,0.9225569,0.7506413,0,-0.0000002,0.104048,0,0,0.0027502
26,141,35.0992622,54.3244286,-0.0057762,2.3958898,1.081725,0.74383,-2.4692161,0.0003625,0.049356,-1.53E-05,-0.0599746,0.0012587
27,146,-19.0938759,6.0958128,-0.0263261,1.8166879,0.9225569,0.7506413,0,-0.0000001,0.0871132,0,0,0.0023165
27,145,-17.2723694,2.5913663,-0.0046993,2.3958898,1.081725,0.74383,2.6686724,-0.013015,0.0423415,0.0651073,-0.0001612,0.0010928
27,144,24.7071228,-51.0345535,-0.0263102,1.8166879,0.9225569,0.7506413,0,-0.0000001,0.0871046,0,0,0.0023163
27,143,28.2559605,-51.9118118,-0.0046797,2.3958898,1.081725,0.74383,-2.6573169,0.1466822,0.0423365,0.0032044,0.064785,0.0010931
27,142,31.5994377,55.9881821,-0.0263101,1.8166879,0.9225569,0.7506413,0,0,0.0871052,0,0,0.0023163
27,141,35.0992432,54.2593117,-0.0046834,2.3958898,1.081725,0.74383,-2.669024,0.0005257,0.0423379,-1.90E-05,-0.0651169,0.0010928
28,146,-19.0938759,6.0958128,-0.0244088,1.8166879,0.9225569,0.7506413,0,-0.0000002,0.0716584,0,0,0.0019173
28,145,-17.2025337,2.5911968,-0.0037567,2.3958898,1.081725,0.74383,2.8536909,-0.0139248,0.0361012,0.0698357,-0.0001695,0.0009426
28,144,24.7071228,-51.0345535,-0.0243931,1.8166879,0.9225569,0.7506413,0,0,0.0716516,0,0,0.0019171
28,143,28.259491,-51.8423004,-0.0037374,2.3958898,1.081725,0.74383,-2.8424282,0.1683903,0.0361011,0.0035305,0.0695114,0.0009423
28,142,31.5994377,55.9881821,-0.024393,1.8166879,0.9225569,0.7506413,0,0,0.0716513,0,0,0.0019171
28,141,35.0992241,54.1894684,-0.0037408,2.3958898,1.081725,0.74383,-2.854258,0.0005492,0.0360988,-1.91E-05,-0.0698433,0.0009426
29,146,-19.0938759,6.0958128,-0.0228501,1.8166879,0.9225569,0.7506413,0,-0.0000001,0.0578847,0,0,0.0015587
29,145,-17.1282787,2.5910153,-0.0029483,2.3958898,1.081725,0.74383,3.0271155,-0.0147666,0.0306227,0.074255,-0.0001815,0.0008084
29,144,24.7071228,-51.0345535,-0.0228346,1.8166879,0.9225569,0.7506413,0.0000001,0,0.0578794,0,0,0.0015585
29,143,28.2633362,-51.7683716,-0.0029291,2.3958898,1.081725,0.74383,-3.0145751,0.1910285,0.0306199,0.0038452,0.0739288,0.0008083
29,142,31.5994377,55.9881821,-0.0228345,1.8166879,0.9225569,0.7506413,0.0000001,0,0.0578798,0,0,0.0015585
29,141,35.099205,54.1152,-0.0029325,2.3958898,1.081725,0.74383,-3.0275335,0.000732,0.030619,-1.91E-05,-0.0742684,0.0008083
30,146,-19.0938759,6.0958128,-0.0216067,1.8166879,0.9225569,0.7506413,0,0.0000001,0.0458574,0,0,0.0012434
30,145,-17.0498486,2.5908239,-0.0022585,2.3958898,1.081725,0.74383,3.1916956,-0.0155692,0.025856,0.0784301,-0.0001914,0.0006898
30,144,24.7071228,-51.0345535,-0.0215912,1.8166879,0.9225569,0.7506413,0,0,0.045852,0,0,0.0012434
30,143,28.2663479,-51.6902084,-0.0022399,2.3958898,1.081725,0.74383,-3.1816543,0.1161689,0.0258557,0.0030117,0.0781632,0.0006892
30,142,31.5994377,55.9881821,-0.0215911,1.8166879,0.9225569,0.7506413,0,0,0.0458524,0,0,0.0012434
30,141,35.0991745,54.0367622,-0.0022428,2.3958898,1.081725,0.74383,-3.1920442,0.001119,0.025855,-3.05E-05,-0.0784378,0.0006897
31,146,-19.0931339,6.0958109,-0.0206637,1.8166879,0.9225569,0.7506413,0.0840469,-0.000412,0.035548,0.000742,-1.90E-06,0.000943
31,145,-16.9674244,2.5906231,-0.0016726,2.3958898,1.081725,0.74383,3.3495692,-0.0163412,0.0217444,0.0824242,-0.0002008,0.0005859
31,144,24.7071705,-51.0338173,-0.0206483,1.8166879,0.9225569,0.7506413,-0.0840062,0.0036538,0.0355454,4.77E-05,0.0007362,0.0009429
31,143,28.2683849,-51.6080132,-0.0016549,2.3958898,1.081725,0.74383,-3.3408026,0.0979689,0.0217427,0.002037,0.0821952,0.000585
31,142,31.5994358,55.9874458,-0.0206483,1.8166879,0.9225569,0.7506413,-0.0840477,0.0001457,0.0355448,-1.90E-06,-0.0007363,0.0009428
31,141,35.099144,53.9543304,-0.0016569,2.3958898,1.081725,0.74383,-3.3498613,0.0012223,0.0217439,-3.05E-05,-0.0824318,0.0005859
32,146,-19.0871449,6.0957975,-0.0201078,1.8166879,0.9225569,0.7506413,0.2995545,-0.0014707,0.0268651,0.005989,-1.34E-05,0.0005559
32,145,-16.8811455,2.5904126,-0.0011772,2.3958898,1.081725,0.74383,3.5023234,-0.0170867,0.0182217,0.0862789,-0.0002105,0.0004954
32,144,24.7074108,-51.0278397,-0.0200918,1.8166879,0.9225569,0.7506413,-0.2994645,0.0077719,0.0268643,0.0002403,0.0059776,0.0005565
32,143,28.2702599,-51.5219421,-0.0011598,2.3958898,1.081725,0.74383,-3.4941041,0.0964855,0.0182203,0.001875,0.0860711,0.0004951
32,142,31.5994282,55.9814529,-0.0200924,1.8166879,0.9225569,0.7506413,-0.2995583,0.00042,0.0268648,-7.60E-06,-0.0059929,0.0005559
32,141,35.0991173,53.868042,-0.0011614,2.3958898,1.081725,0.74383,-3.5025729,0.0012797,0.0182224,-2.67E-05,-0.0862884,0.0004955
33,146,-19.0762768,6.0957718,-0.0198135,1.8166879,0.9225569,0.7506413,0.4805542,-0.0023545,0.0196831,0.0108681,-2.57E-05,0.0002943
33,145,-16.7911167,2.5901928,-0.0007593,2.3958898,1.081725,0.74383,3.6511422,-0.0178132,0.0152246,0.0900288,-0.0002198,0.0004179
33,144,24.707777,-51.0169945,-0.0197971,1.8166879,0.9225569,0.7506413,-0.4803899,0.0102939,0.0196793,0.0003662,0.0108452,0.0002947
33,143,28.2721176,-51.4321098,-0.0007426,2.3958898,1.081725,0.74383,-3.6431907,0.1007317,0.0152204,0.0018577,0.0898323,0.0004172
